26-02-28 23:23:46.803 :   task: train
  gpu_ids: [0, 1, 2, 3]
  log_path: ./log
  model_save: ./model_save
  pretained_path:[
    index: False
    path: ./model_save/model_best.pth
  ]
  batch_size: 1
  nc: [1, 16]
  patch_size: [128, 128]
  stride_size: [16, 16]
  atoms: 50
  d_size: 3
  max_epoch: 1000
  stage: 3
  lr: 0.0001
  loss_function_index: 1
  n_channels: 1
  train:[
    sigma: [15, 50]
    dataroot_H: ./dataset/gray_train
    H_size: 128
    n_channels: 1
  ]
  valid:[
    sigma: [15, 25, 50]
    dataroot_H: ./dataset/gray_valid
    n_channels: 1
  ]
  opt_path: ./options/train_options.json
  is_train: True
  scale: 1

26-03-01 02:04:28.438 : epoch:[69/1000], 平均loss: 0.0243
26-03-01 02:06:32.608 : epoch:[70/1000], 平均loss: 0.0243
26-03-01 02:09:19.176 : [epoch 70 PSNR: 30.8618 Best: 30.8618]
26-03-01 02:11:23.293 : epoch:[71/1000], 平均loss: 0.0242
26-03-01 02:13:27.826 : epoch:[72/1000], 平均loss: 0.0242
26-03-01 02:15:31.651 : epoch:[73/1000], 平均loss: 0.0243
26-03-01 02:17:35.881 : epoch:[74/1000], 平均loss: 0.0243
26-03-01 02:19:40.630 : epoch:[75/1000], 平均loss: 0.0244
26-03-01 02:21:44.627 : epoch:[76/1000], 平均loss: 0.0244
26-03-01 02:23:49.206 : epoch:[77/1000], 平均loss: 0.0243
26-03-01 02:25:53.999 : epoch:[78/1000], 平均loss: 0.0242
26-03-01 02:27:58.099 : epoch:[79/1000], 平均loss: 0.0242
26-03-01 02:30:02.406 : epoch:[80/1000], 平均loss: 0.0243
26-03-01 02:32:48.714 : [epoch 80 PSNR: 30.8498 Best: 30.8618]
26-03-01 02:34:53.465 : epoch:[81/1000], 平均loss: 0.0242
26-03-01 02:36:50.838 : epoch:[82/1000], 平均loss: 0.0244
26-03-01 02:38:53.107 : epoch:[83/1000], 平均loss: 0.0242
26-03-01 02:40:50.921 : epoch:[84/1000], 平均loss: 0.0243
26-03-01 02:42:49.720 : epoch:[85/1000], 平均loss: 0.0240
26-03-01 02:44:53.774 : epoch:[86/1000], 平均loss: 0.0240
26-03-01 02:46:57.704 : epoch:[87/1000], 平均loss: 0.0243
26-03-01 02:49:01.945 : epoch:[88/1000], 平均loss: 0.0243
26-03-01 02:51:05.651 : epoch:[89/1000], 平均loss: 0.0242
26-03-01 02:53:09.378 : epoch:[90/1000], 平均loss: 0.0238
26-03-01 02:55:54.579 : [epoch 90 PSNR: 30.8927 Best: 30.8927]
26-03-01 02:57:57.582 : epoch:[91/1000], 平均loss: 0.0241
26-03-01 02:59:59.804 : epoch:[92/1000], 平均loss: 0.0241
26-03-01 03:02:02.872 : epoch:[93/1000], 平均loss: 0.0242
26-03-01 03:04:07.206 : epoch:[94/1000], 平均loss: 0.0240
26-03-01 03:06:10.949 : epoch:[95/1000], 平均loss: 0.0239
26-03-01 03:08:14.636 : epoch:[96/1000], 平均loss: 0.0241
26-03-01 03:10:18.507 : epoch:[97/1000], 平均loss: 0.0241
26-03-01 03:12:24.007 : epoch:[98/1000], 平均loss: 0.0238
26-03-01 03:14:28.710 : epoch:[99/1000], 平均loss: 0.0240
26-03-01 03:16:32.501 : epoch:[100/1000], 平均loss: 0.0242
26-03-01 03:19:18.246 : [epoch 100 PSNR: 30.8999 Best: 30.8999]
26-03-01 03:21:22.984 : epoch:[101/1000], 平均loss: 0.0242
26-03-01 03:23:26.865 : epoch:[102/1000], 平均loss: 0.0240
26-03-01 03:25:31.098 : epoch:[103/1000], 平均loss: 0.0238
26-03-01 03:27:34.999 : epoch:[104/1000], 平均loss: 0.0241
26-03-01 03:29:39.217 : epoch:[105/1000], 平均loss: 0.0241
26-03-01 03:31:43.079 : epoch:[106/1000], 平均loss: 0.0240
26-03-01 03:33:39.721 : epoch:[107/1000], 平均loss: 0.0239
26-03-01 03:35:35.787 : epoch:[108/1000], 平均loss: 0.0242
26-03-01 03:37:40.238 : epoch:[109/1000], 平均loss: 0.0240
26-03-01 03:39:44.438 : epoch:[110/1000], 平均loss: 0.0241
26-03-01 03:42:30.483 : [epoch 110 PSNR: 30.9187 Best: 30.9187]
26-03-01 03:44:34.585 : epoch:[111/1000], 平均loss: 0.0240
26-03-01 03:46:38.848 : epoch:[112/1000], 平均loss: 0.0242
26-03-01 03:48:42.995 : epoch:[113/1000], 平均loss: 0.0242
26-03-01 03:50:46.607 : epoch:[114/1000], 平均loss: 0.0241
26-03-01 03:52:49.847 : epoch:[115/1000], 平均loss: 0.0239
26-03-01 03:54:53.185 : epoch:[116/1000], 平均loss: 0.0240
26-03-01 03:56:56.529 : epoch:[117/1000], 平均loss: 0.0239
26-03-01 03:58:59.727 : epoch:[118/1000], 平均loss: 0.0238
26-03-01 04:01:03.196 : epoch:[119/1000], 平均loss: 0.0242
26-03-01 04:03:06.414 : epoch:[120/1000], 平均loss: 0.0242
26-03-01 04:05:52.485 : [epoch 120 PSNR: 30.9384 Best: 30.9384]
26-03-01 04:07:55.813 : epoch:[121/1000], 平均loss: 0.0239
26-03-01 04:09:59.665 : epoch:[122/1000], 平均loss: 0.0239
26-03-01 04:11:57.343 : epoch:[123/1000], 平均loss: 0.0239
26-03-01 04:13:58.568 : epoch:[124/1000], 平均loss: 0.0240
26-03-01 04:15:58.589 : epoch:[125/1000], 平均loss: 0.0239
26-03-01 04:17:55.435 : epoch:[126/1000], 平均loss: 0.0239
26-03-01 04:19:59.259 : epoch:[127/1000], 平均loss: 0.0240
26-03-01 04:22:02.830 : epoch:[128/1000], 平均loss: 0.0239
26-03-01 04:24:06.891 : epoch:[129/1000], 平均loss: 0.0240
26-03-01 04:26:10.487 : epoch:[130/1000], 平均loss: 0.0237
26-03-01 04:28:57.354 : [epoch 130 PSNR: 30.9444 Best: 30.9444]
26-03-01 04:31:02.018 : epoch:[131/1000], 平均loss: 0.0239
26-03-01 04:33:06.818 : epoch:[132/1000], 平均loss: 0.0241
26-03-01 04:35:11.104 : epoch:[133/1000], 平均loss: 0.0239
26-03-01 04:37:13.530 : epoch:[134/1000], 平均loss: 0.0239
26-03-01 04:39:19.592 : epoch:[135/1000], 平均loss: 0.0239
26-03-01 04:41:24.666 : epoch:[136/1000], 平均loss: 0.0238
26-03-01 04:43:29.662 : epoch:[137/1000], 平均loss: 0.0239
26-03-01 04:45:35.723 : epoch:[138/1000], 平均loss: 0.0238
26-03-01 04:47:39.772 : epoch:[139/1000], 平均loss: 0.0241
26-03-01 04:49:43.959 : epoch:[140/1000], 平均loss: 0.0239
26-03-01 04:52:29.719 : [epoch 140 PSNR: 30.9137 Best: 30.9444]
26-03-01 04:54:33.545 : epoch:[141/1000], 平均loss: 0.0239
26-03-01 04:56:28.264 : epoch:[142/1000], 平均loss: 0.0239
26-03-01 04:58:22.957 : epoch:[143/1000], 平均loss: 0.0240
26-03-01 05:00:23.044 : epoch:[144/1000], 平均loss: 0.0237
26-03-01 05:02:26.480 : epoch:[145/1000], 平均loss: 0.0238
26-03-01 05:04:29.138 : epoch:[146/1000], 平均loss: 0.0241
26-03-01 05:06:33.007 : epoch:[147/1000], 平均loss: 0.0237
26-03-01 05:08:36.743 : epoch:[148/1000], 平均loss: 0.0241
26-03-01 05:10:39.609 : epoch:[149/1000], 平均loss: 0.0238
26-03-01 05:12:42.512 : epoch:[150/1000], 平均loss: 0.0239
26-03-01 05:15:27.714 : [epoch 150 PSNR: 30.9527 Best: 30.9527]
26-03-01 05:17:31.071 : epoch:[151/1000], 平均loss: 0.0238
26-03-01 05:19:34.289 : epoch:[152/1000], 平均loss: 0.0239
26-03-01 05:21:38.124 : epoch:[153/1000], 平均loss: 0.0238
26-03-01 05:23:41.884 : epoch:[154/1000], 平均loss: 0.0236
26-03-01 05:25:45.575 : epoch:[155/1000], 平均loss: 0.0238
26-03-01 05:27:49.261 : epoch:[156/1000], 平均loss: 0.0239
26-03-01 05:29:53.574 : epoch:[157/1000], 平均loss: 0.0239
26-03-01 05:31:53.172 : epoch:[158/1000], 平均loss: 0.0238
26-03-01 05:33:49.911 : epoch:[159/1000], 平均loss: 0.0238
26-03-01 05:35:47.019 : epoch:[160/1000], 平均loss: 0.0238
26-03-01 05:38:34.042 : [epoch 160 PSNR: 30.9634 Best: 30.9634]
26-03-01 05:40:37.995 : epoch:[161/1000], 平均loss: 0.0237
26-03-01 05:42:42.478 : epoch:[162/1000], 平均loss: 0.0237
26-03-01 05:44:46.589 : epoch:[163/1000], 平均loss: 0.0239
26-03-01 05:46:50.964 : epoch:[164/1000], 平均loss: 0.0240
26-03-01 05:48:55.078 : epoch:[165/1000], 平均loss: 0.0236
26-03-01 05:50:58.943 : epoch:[166/1000], 平均loss: 0.0238
26-03-01 05:52:55.802 : epoch:[167/1000], 平均loss: 0.0238
26-03-01 05:54:53.552 : epoch:[168/1000], 平均loss: 0.0238
26-03-01 05:56:57.528 : epoch:[169/1000], 平均loss: 0.0238
26-03-01 05:59:02.031 : epoch:[170/1000], 平均loss: 0.0239
26-03-01 06:01:46.996 : [epoch 170 PSNR: 30.9550 Best: 30.9634]
26-03-01 06:03:48.339 : epoch:[171/1000], 平均loss: 0.0239
26-03-01 06:05:47.265 : epoch:[172/1000], 平均loss: 0.0236
26-03-01 06:07:50.693 : epoch:[173/1000], 平均loss: 0.0238
26-03-01 06:09:54.382 : epoch:[174/1000], 平均loss: 0.0239
26-03-01 06:11:58.199 : epoch:[175/1000], 平均loss: 0.0237
26-03-01 06:14:00.066 : epoch:[176/1000], 平均loss: 0.0238
26-03-01 06:16:03.073 : epoch:[177/1000], 平均loss: 0.0239
26-03-01 06:18:06.528 : epoch:[178/1000], 平均loss: 0.0239
26-03-01 06:20:10.681 : epoch:[179/1000], 平均loss: 0.0238
26-03-01 06:22:14.937 : epoch:[180/1000], 平均loss: 0.0238
26-03-01 06:25:02.461 : [epoch 180 PSNR: 30.9579 Best: 30.9634]
26-03-01 06:27:07.818 : epoch:[181/1000], 平均loss: 0.0238
26-03-01 06:29:12.001 : epoch:[182/1000], 平均loss: 0.0237
26-03-01 06:31:15.641 : epoch:[183/1000], 平均loss: 0.0239
26-03-01 06:33:19.913 : epoch:[184/1000], 平均loss: 0.0239
26-03-01 06:35:24.314 : epoch:[185/1000], 平均loss: 0.0238
26-03-01 06:37:28.808 : epoch:[186/1000], 平均loss: 0.0239
26-03-01 06:39:33.603 : epoch:[187/1000], 平均loss: 0.0239
26-03-01 06:41:37.649 : epoch:[188/1000], 平均loss: 0.0239
26-03-01 06:43:41.524 : epoch:[189/1000], 平均loss: 0.0239
26-03-01 06:45:45.639 : epoch:[190/1000], 平均loss: 0.0240
26-03-01 06:48:32.928 : [epoch 190 PSNR: 30.9571 Best: 30.9634]
26-03-01 06:50:37.487 : epoch:[191/1000], 平均loss: 0.0238
26-03-01 06:52:41.596 : epoch:[192/1000], 平均loss: 0.0238
26-03-01 06:54:46.049 : epoch:[193/1000], 平均loss: 0.0238
26-03-01 06:56:49.903 : epoch:[194/1000], 平均loss: 0.0237
26-03-01 06:58:53.730 : epoch:[195/1000], 平均loss: 0.0240
26-03-01 07:00:57.948 : epoch:[196/1000], 平均loss: 0.0238
26-03-01 07:02:58.355 : epoch:[197/1000], 平均loss: 0.0237
26-03-01 07:05:02.866 : epoch:[198/1000], 平均loss: 0.0237
26-03-01 07:07:06.804 : epoch:[199/1000], 平均loss: 0.0236
26-03-01 07:09:10.742 : epoch:[200/1000], 平均loss: 0.0239
26-03-01 07:11:57.757 : [epoch 200 PSNR: 30.9621 Best: 30.9634]
26-03-01 07:14:01.704 : epoch:[201/1000], 平均loss: 0.0238
26-03-01 07:16:05.327 : epoch:[202/1000], 平均loss: 0.0239
26-03-01 07:18:09.375 : epoch:[203/1000], 平均loss: 0.0238
26-03-01 07:20:13.883 : epoch:[204/1000], 平均loss: 0.0237
26-03-01 07:22:18.438 : epoch:[205/1000], 平均loss: 0.0237
26-03-01 07:24:22.807 : epoch:[206/1000], 平均loss: 0.0240
26-03-01 07:26:26.707 : epoch:[207/1000], 平均loss: 0.0237
