26-02-26 03:04:58.936 :   task: train
  gpu_ids: [0, 1, 2, 3]
  log_path: ./log
  model_save: ./model_save
  pretained_path:[
    index: False
    path: ./model_save/model_best.pth
  ]
  batch_size: 1
  nc: [1, 16]
  patch_size: [128, 128]
  stride_size: [16, 16]
  atoms: 50
  d_size: 3
  max_epoch: 1000
  stage: 3
  lr: 0.0001
  loss_function_index: 1
  n_channels: 1
  train:[
    sigma: [15, 50]
    dataroot_H: ./dataset/gray_train
    H_size: 128
    n_channels: 1
  ]
  valid:[
    sigma: [15, 25, 50]
    dataroot_H: ./dataset/gray_valid
    n_channels: 1
  ]
  opt_path: ./options/train_options.json
  is_train: True
  scale: 1

26-02-26 03:04:59.985 : Number of parameter: 3.41M
26-02-26 03:04:59.985 : start training...
26-02-26 03:07:14.692 : epoch:[1/1000], 平均loss: 0.0563
26-02-26 03:09:27.880 : epoch:[2/1000], 平均loss: 0.0355
26-02-26 03:11:41.577 : epoch:[3/1000], 平均loss: 0.0329
26-02-26 03:13:54.348 : epoch:[4/1000], 平均loss: 0.0315
26-02-26 03:16:06.911 : epoch:[5/1000], 平均loss: 0.0302
26-02-26 03:18:19.110 : epoch:[6/1000], 平均loss: 0.0298
26-02-26 03:20:30.338 : epoch:[7/1000], 平均loss: 0.0288
26-02-26 03:22:42.575 : epoch:[8/1000], 平均loss: 0.0284
26-02-26 03:24:55.295 : epoch:[9/1000], 平均loss: 0.0281
26-02-26 03:27:08.035 : epoch:[10/1000], 平均loss: 0.0276
26-02-26 03:29:19.913 : epoch:[11/1000], 平均loss: 0.0272
26-02-26 03:31:25.500 : epoch:[12/1000], 平均loss: 0.0272
26-02-26 03:33:31.279 : epoch:[13/1000], 平均loss: 0.0272
26-02-26 03:35:36.266 : epoch:[14/1000], 平均loss: 0.0267
26-02-26 03:37:41.329 : epoch:[15/1000], 平均loss: 0.0269
26-02-26 03:39:45.901 : epoch:[16/1000], 平均loss: 0.0267
26-02-26 03:41:50.693 : epoch:[17/1000], 平均loss: 0.0262
26-02-26 03:43:56.110 : epoch:[18/1000], 平均loss: 0.0266
26-02-26 03:46:01.683 : epoch:[19/1000], 平均loss: 0.0261
26-02-26 03:48:06.727 : epoch:[20/1000], 平均loss: 0.0258
26-02-26 03:50:11.585 : epoch:[21/1000], 平均loss: 0.0259
26-02-26 03:52:16.222 : epoch:[22/1000], 平均loss: 0.0260
26-02-26 03:54:21.279 : epoch:[23/1000], 平均loss: 0.0256
26-02-26 03:56:25.991 : epoch:[24/1000], 平均loss: 0.0259
26-02-26 03:58:30.692 : epoch:[25/1000], 平均loss: 0.0255
26-02-26 04:00:35.033 : epoch:[26/1000], 平均loss: 0.0255
26-02-26 04:02:39.371 : epoch:[27/1000], 平均loss: 0.0255
26-02-26 04:04:44.778 : epoch:[28/1000], 平均loss: 0.0251
26-02-26 04:06:50.003 : epoch:[29/1000], 平均loss: 0.0252
26-02-26 04:08:54.851 : epoch:[30/1000], 平均loss: 0.0251
26-02-26 04:10:59.987 : epoch:[31/1000], 平均loss: 0.0250
26-02-26 04:13:06.153 : epoch:[32/1000], 平均loss: 0.0251
26-02-26 04:15:10.947 : epoch:[33/1000], 平均loss: 0.0252
26-02-26 04:17:16.104 : epoch:[34/1000], 平均loss: 0.0252
26-02-26 04:19:21.645 : epoch:[35/1000], 平均loss: 0.0250
26-02-26 04:21:27.942 : epoch:[36/1000], 平均loss: 0.0249
26-02-26 04:23:33.148 : epoch:[37/1000], 平均loss: 0.0249
26-02-26 04:25:36.057 : epoch:[38/1000], 平均loss: 0.0249
26-02-26 04:27:41.452 : epoch:[39/1000], 平均loss: 0.0249
26-02-26 04:29:46.522 : epoch:[40/1000], 平均loss: 0.0247
26-02-26 04:31:51.963 : epoch:[41/1000], 平均loss: 0.0247
26-02-26 04:33:57.128 : epoch:[42/1000], 平均loss: 0.0244
26-02-26 04:36:03.682 : epoch:[43/1000], 平均loss: 0.0247
26-02-26 04:38:07.729 : epoch:[44/1000], 平均loss: 0.0246
26-02-26 04:40:12.491 : epoch:[45/1000], 平均loss: 0.0246
26-02-26 04:42:17.882 : epoch:[46/1000], 平均loss: 0.0244
26-02-26 04:44:20.439 : epoch:[47/1000], 平均loss: 0.0245
26-02-26 04:46:22.815 : epoch:[48/1000], 平均loss: 0.0246
26-02-26 04:48:24.037 : epoch:[49/1000], 平均loss: 0.0247
26-02-26 04:50:27.438 : epoch:[50/1000], 平均loss: 0.0244
26-02-26 04:52:30.061 : epoch:[51/1000], 平均loss: 0.0244
26-02-26 04:54:33.174 : epoch:[52/1000], 平均loss: 0.0243
26-02-26 04:56:36.509 : epoch:[53/1000], 平均loss: 0.0244
26-02-26 04:58:33.705 : epoch:[54/1000], 平均loss: 0.0242
26-02-26 05:00:36.735 : epoch:[55/1000], 平均loss: 0.0244
26-02-26 05:02:40.230 : epoch:[56/1000], 平均loss: 0.0245
26-02-26 05:04:43.857 : epoch:[57/1000], 平均loss: 0.0244
26-02-26 05:06:47.788 : epoch:[58/1000], 平均loss: 0.0243
26-02-26 05:08:51.282 : epoch:[59/1000], 平均loss: 0.0244
